Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
05/15/2020,05/09/2020,05/09/2020,By week,Alabama,Week-ending,16,394,0.39,29,,0,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/01/2020,02/01/2020,By week,Alaska,Week-ending,0,83,0.93,0,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/08/2020,02/08/2020,By week,Alaska,Week-ending,0,92,1.23,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/15/2020,02/15/2020,By week,Alaska,Week-ending,0,88,1.01,0,0,0,0,
05/15/2020,02/22/2020,02/22/2020,By week,Alaska,Week-ending,0,83,1.02,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/29/2020,02/29/2020,By week,Alaska,Week-ending,0,78,0.93,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/07/2020,03/07/2020,By week,Alaska,Week-ending,0,77,0.9,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/14/2020,03/14/2020,By week,Alaska,Week-ending,0,86,1.02,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,Alaska,Week-ending,0,63,0.79,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Alaska,Week-ending,,76,0.89,,,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/04/2020,04/04/2020,By week,Alaska,Week-ending,,90,1.04,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,Alaska,Week-ending,,73,0.85,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,Alaska,Week-ending,,61,0.78,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/25/2020,04/25/2020,By week,Alaska,Week-ending,0,38,0.48,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,Alaska,Week-ending,0,41,0.46,0,0,0,0,
05/15/2020,05/09/2020,05/09/2020,By week,Alaska,Week-ending,0,,0.06,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/01/2020,02/01/2020,By week,Arizona,Week-ending,0,1262,0.99,74,0,13,87,
05/15/2020,02/08/2020,02/08/2020,By week,Arizona,Week-ending,0,1258,1.01,79,0,10,89,
05/15/2020,02/15/2020,02/15/2020,By week,Arizona,Week-ending,0,1308,1.1,91,0,13,104,
05/15/2020,02/22/2020,02/22/2020,By week,Arizona,Week-ending,0,1334,1.11,78,0,11,89,
05/15/2020,02/29/2020,02/29/2020,By week,Arizona,Week-ending,0,1345,1.09,80,0,15,95,
05/15/2020,03/07/2020,03/07/2020,By week,Arizona,Week-ending,0,1376,1.11,73,0,14,87,
05/15/2020,03/14/2020,03/14/2020,By week,Arizona,Week-ending,0,1338,1.09,82,0,11,93,
05/15/2020,03/21/2020,03/21/2020,By week,Arizona,Week-ending,,1275,1.06,100,,,108,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Arizona,Week-ending,28,1311,1.1,114,16,,131,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/04/2020,04/04/2020,By week,Arizona,Week-ending,54,1335,1.09,120,29,,149,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,Arizona,Week-ending,82,1372,1.13,144,47,,183,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,Arizona,Week-ending,86,1270,1.1,109,37,,159,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/25/2020,04/25/2020,By week,Arizona,Week-ending,89,1296,1.11,104,34,0,159,
05/15/2020,05/02/2020,05/02/2020,By week,Arizona,Week-ending,52,1073,0.92,76,22,0,106,
05/15/2020,05/09/2020,05/09/2020,By week,Arizona,Week-ending,,495,0.43,26,,0,29,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/01/2020,02/01/2020,By week,Arkansas,Week-ending,0,677,1.04,55,0,,63,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/08/2020,02/08/2020,By week,Arkansas,Week-ending,0,667,1.02,46,0,,55,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/15/2020,02/15/2020,By week,Arkansas,Week-ending,0,686,1.02,38,0,,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/22/2020,02/22/2020,By week,Arkansas,Week-ending,0,690,1.01,49,0,12,61,
05/15/2020,02/29/2020,02/29/2020,By week,Arkansas,Week-ending,0,652,1.02,32,0,,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/07/2020,03/07/2020,By week,Arkansas,Week-ending,0,693,1.05,42,0,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/14/2020,03/14/2020,By week,Arkansas,Week-ending,0,621,0.97,37,0,,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,Arkansas,Week-ending,0,629,1,53,0,11,64,
05/15/2020,03/28/2020,03/28/2020,By week,Arkansas,Week-ending,,625,0.99,40,0,,49,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/04/2020,04/04/2020,By week,Arkansas,Week-ending,,599,0.98,50,,0,57,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,Arkansas,Week-ending,12,610,0.96,52,,,61,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,Arkansas,Week-ending,10,615,1.05,48,,0,53,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/25/2020,04/25/2020,By week,Arkansas,Week-ending,12,557,0.94,38,,0,47,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,Arkansas,Week-ending,,465,0.77,33,,0,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/09/2020,05/09/2020,By week,Arkansas,Week-ending,,289,0.48,16,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/01/2020,02/01/2020,By week,California,Week-ending,0,5669,0.98,423,0,59,482,
05/15/2020,02/08/2020,02/08/2020,By week,California,Week-ending,,5889,1.05,441,0,67,509,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/15/2020,02/15/2020,By week,California,Week-ending,0,5570,0.99,423,0,76,499,
05/15/2020,02/22/2020,02/22/2020,By week,California,Week-ending,,5781,1.03,454,0,71,526,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/29/2020,02/29/2020,By week,California,Week-ending,0,5653,0.99,427,0,70,497,
05/15/2020,03/07/2020,03/07/2020,By week,California,Week-ending,,5694,1,471,0,55,528,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/14/2020,03/14/2020,By week,California,Week-ending,,5421,0.98,419,,54,477,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,California,Week-ending,40,5627,1.04,468,18,42,532,
05/15/2020,03/28/2020,03/28/2020,By week,California,Week-ending,122,5625,1.05,565,67,27,647,
05/15/2020,04/04/2020,04/04/2020,By week,California,Week-ending,280,5888,1.11,611,153,24,762,
05/15/2020,04/11/2020,04/11/2020,By week,California,Week-ending,357,5875,1.14,619,207,,773,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,California,Week-ending,469,5854,1.15,685,293,,868,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/25/2020,04/25/2020,By week,California,Week-ending,343,5228,1.01,541,206,,679,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,California,Week-ending,210,4186,0.82,370,118,0,462,
05/15/2020,05/09/2020,05/09/2020,By week,California,Week-ending,73,2627,0.53,196,49,0,220,
05/15/2020,02/01/2020,02/01/2020,By week,Colorado,Week-ending,0,788,0.98,45,0,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/08/2020,02/08/2020,By week,Colorado,Week-ending,0,843,1.04,51,0,11,62,
05/15/2020,02/15/2020,02/15/2020,By week,Colorado,Week-ending,0,804,0.98,50,0,,57,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/22/2020,02/22/2020,By week,Colorado,Week-ending,0,879,1.09,45,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/29/2020,02/29/2020,By week,Colorado,Week-ending,0,842,1.08,57,0,16,73,
05/15/2020,03/07/2020,03/07/2020,By week,Colorado,Week-ending,0,818,1.01,51,0,,60,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/14/2020,03/14/2020,By week,Colorado,Week-ending,,813,1.01,37,0,10,49,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,Colorado,Week-ending,16,887,1.11,70,,11,88,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Colorado,Week-ending,44,850,1.11,86,26,,111,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/04/2020,04/04/2020,By week,Colorado,Week-ending,126,953,1.24,153,82,,202,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,Colorado,Week-ending,194,1077,1.36,179,113,,262,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,Colorado,Week-ending,186,1075,1.39,152,103,0,235,
05/15/2020,04/25/2020,04/25/2020,By week,Colorado,Week-ending,179,988,1.34,135,88,,226,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,Colorado,Week-ending,110,814,1.1,84,53,0,141,
05/15/2020,05/09/2020,05/09/2020,By week,Colorado,Week-ending,21,422,0.57,24,12,0,33,
05/15/2020,02/01/2020,02/01/2020,By week,Connecticut,Week-ending,0,665,1.01,40,0,11,51,
05/15/2020,02/08/2020,02/08/2020,By week,Connecticut,Week-ending,0,570,0.82,32,0,,38,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/15/2020,02/15/2020,By week,Connecticut,Week-ending,0,564,0.85,29,0,13,42,
05/15/2020,02/22/2020,02/22/2020,By week,Connecticut,Week-ending,0,587,0.88,32,0,11,43,
05/15/2020,02/29/2020,02/29/2020,By week,Connecticut,Week-ending,0,552,0.87,51,0,,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/07/2020,03/07/2020,By week,Connecticut,Week-ending,0,,0.01,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/14/2020,03/14/2020,By week,Connecticut,Week-ending,0,0,0,0,0,0,0,
05/15/2020,03/21/2020,03/21/2020,By week,Connecticut,Week-ending,,,0.01,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Connecticut,Week-ending,41,46,0.07,13,13,0,41,
05/15/2020,04/04/2020,04/04/2020,By week,Connecticut,Week-ending,127,136,0.21,28,25,0,130,
05/15/2020,04/11/2020,04/11/2020,By week,Connecticut,Week-ending,254,270,0.42,67,58,,263,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,Connecticut,Week-ending,94,98,0.17,18,18,0,94,
05/15/2020,04/25/2020,04/25/2020,By week,Connecticut,Week-ending,,,0,0,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,Connecticut,Week-ending,,,0,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/09/2020,05/09/2020,By week,Connecticut,Week-ending,0,0,0,0,0,0,0,
05/15/2020,02/01/2020,02/01/2020,By week,Delaware,Week-ending,0,178,0.97,14,0,0,14,
05/15/2020,02/08/2020,02/08/2020,By week,Delaware,Week-ending,0,186,1,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/15/2020,02/15/2020,By week,Delaware,Week-ending,0,200,1.02,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/22/2020,02/22/2020,By week,Delaware,Week-ending,0,186,0.96,13,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/29/2020,02/29/2020,By week,Delaware,Week-ending,0,161,0.89,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/07/2020,03/07/2020,By week,Delaware,Week-ending,0,191,1.04,12,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/14/2020,03/14/2020,By week,Delaware,Week-ending,0,181,0.98,,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,Delaware,Week-ending,0,212,1.13,16,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Delaware,Week-ending,,176,0.88,12,,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/04/2020,04/04/2020,By week,Delaware,Week-ending,,193,1.13,17,,,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,Delaware,Week-ending,20,172,0.96,15,,0,27,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,Delaware,Week-ending,30,160,0.84,16,11,0,35,
05/15/2020,04/25/2020,04/25/2020,By week,Delaware,Week-ending,52,200,1.2,32,24,0,60,
05/15/2020,05/02/2020,05/02/2020,By week,Delaware,Week-ending,42,134,0.85,19,12,0,49,
05/15/2020,05/09/2020,05/09/2020,By week,Delaware,Week-ending,,19,0.12,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/01/2020,02/01/2020,By week,District of Columbia,Week-ending,0,142,1.09,11,0,0,11,
05/15/2020,02/08/2020,02/08/2020,By week,District of Columbia,Week-ending,0,130,1,10,0,0,10,
05/15/2020,02/15/2020,02/15/2020,By week,District of Columbia,Week-ending,0,121,0.93,12,0,,13,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/22/2020,02/22/2020,By week,District of Columbia,Week-ending,0,102,0.92,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/29/2020,02/29/2020,By week,District of Columbia,Week-ending,0,132,1.06,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/07/2020,03/07/2020,By week,District of Columbia,Week-ending,0,117,0.95,13,0,,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/14/2020,03/14/2020,By week,District of Columbia,Week-ending,0,108,0.92,,0,,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,District of Columbia,Week-ending,,123,1.05,,,,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,District of Columbia,Week-ending,,121,0.99,18,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/04/2020,04/04/2020,By week,District of Columbia,Week-ending,22,145,1.24,33,22,0,33,
05/15/2020,04/11/2020,04/11/2020,By week,District of Columbia,Week-ending,28,162,1.42,38,28,,39,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,District of Columbia,Week-ending,38,161,1.36,48,38,0,48,
05/15/2020,04/25/2020,04/25/2020,By week,District of Columbia,Week-ending,41,150,1.17,50,41,0,50,
05/15/2020,05/02/2020,05/02/2020,By week,District of Columbia,Week-ending,19,83,0.69,22,19,0,22,
05/15/2020,05/09/2020,05/09/2020,By week,District of Columbia,Week-ending,,26,0.24,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/01/2020,02/01/2020,By week,Florida,Week-ending,0,4419,0.99,244,0,35,279,
05/15/2020,02/08/2020,02/08/2020,By week,Florida,Week-ending,0,4383,1,286,0,34,320,
05/15/2020,02/15/2020,02/15/2020,By week,Florida,Week-ending,0,4357,1,273,0,26,299,
05/15/2020,02/22/2020,02/22/2020,By week,Florida,Week-ending,0,4414,1.04,272,0,33,305,
05/15/2020,02/29/2020,02/29/2020,By week,Florida,Week-ending,0,4397,1.04,267,0,33,300,
05/15/2020,03/07/2020,03/07/2020,By week,Florida,Week-ending,,4520,1.07,262,,29,292,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/14/2020,03/14/2020,By week,Florida,Week-ending,,4433,1.06,305,,24,330,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,Florida,Week-ending,17,4358,1.03,357,,23,388,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Florida,Week-ending,92,4454,1.06,361,45,19,426,
05/15/2020,04/04/2020,04/04/2020,By week,Florida,Week-ending,218,4485,1.08,478,141,16,569,
05/15/2020,04/11/2020,04/11/2020,By week,Florida,Week-ending,299,4522,1.1,425,155,10,579,
05/15/2020,04/18/2020,04/18/2020,By week,Florida,Week-ending,300,4375,1.09,431,152,,583,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/25/2020,04/25/2020,By week,Florida,Week-ending,293,4418,1.11,405,148,,554,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,Florida,Week-ending,207,3863,0.97,316,104,,421,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/09/2020,05/09/2020,By week,Florida,Week-ending,47,2448,0.62,142,21,,169,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/01/2020,02/01/2020,By week,Georgia,Week-ending,0,1769,1,87,0,,94,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/08/2020,02/08/2020,By week,Georgia,Week-ending,0,1729,0.98,93,0,10,103,
05/15/2020,02/15/2020,02/15/2020,By week,Georgia,Week-ending,0,1718,1.01,88,0,16,104,
05/15/2020,02/22/2020,02/22/2020,By week,Georgia,Week-ending,0,1691,1.03,79,0,21,100,
05/15/2020,02/29/2020,02/29/2020,By week,Georgia,Week-ending,,1791,1.1,86,,,95,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/07/2020,03/07/2020,By week,Georgia,Week-ending,,1696,1.01,82,,,92,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/14/2020,03/14/2020,By week,Georgia,Week-ending,,1700,1,96,,,101,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/21/2020,03/21/2020,By week,Georgia,Week-ending,30,1670,1,126,16,,147,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/28/2020,03/28/2020,By week,Georgia,Week-ending,84,1731,1.01,146,36,,200,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/04/2020,04/04/2020,By week,Georgia,Week-ending,180,1823,1.12,212,93,,303,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/11/2020,04/11/2020,By week,Georgia,Week-ending,172,1772,1.09,200,76,,299,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/18/2020,04/18/2020,By week,Georgia,Week-ending,180,1673,1.02,165,74,,274,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,04/25/2020,04/25/2020,By week,Georgia,Week-ending,160,1516,0.92,152,70,,243,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,05/02/2020,05/02/2020,By week,Georgia,Week-ending,101,1091,0.66,95,50,0,146,
05/15/2020,05/09/2020,05/09/2020,By week,Georgia,Week-ending,23,523,0.33,37,14,0,46,
05/15/2020,02/01/2020,02/01/2020,By week,Hawaii,Week-ending,0,242,1.03,19,0,0,19,
05/15/2020,02/08/2020,02/08/2020,By week,Hawaii,Week-ending,0,233,1.09,19,0,0,19,
05/15/2020,02/15/2020,02/15/2020,By week,Hawaii,Week-ending,0,278,1.15,22,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/22/2020,02/22/2020,By week,Hawaii,Week-ending,0,245,1.06,17,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,02/29/2020,02/29/2020,By week,Hawaii,Week-ending,0,237,1.03,14,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/15/2020,03/07/2020,03/07/2020,By week,Hawaii,Week-ending,0,237,0.94,19,0,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
